"","name","releasedate"
"2732","Dosti Dushmani","1986"
"2733","Dosti Ki Saugandh","1993"
"2734","Double Cross","1972"
"2735","Double Cross <U+0096> Ek Dhoka","2005"
"2736","Double Dealer","2017"
"2737","Double Dhamaal","2011"
"2738","Double Di Trouble","2013"
"2739","Double Gadbad","1999"
"2740","Down Town","2009"
"2741","Dozakh","1987"
"2742","Dozakh In Search Of Heaven","2015"
"2743","Dr Ravi and Mr Hyde","2011"
"2744","Dr. Abdul Kalam","2016"
"2745","Dr. Babasaheb Ambedkar","2000"
"2746","Dr. Cabbie","2015"
"2747","Dr. Kotnis Ki Amar Kahani","1946"
"2748","Dr. Shaitan","1960"
"2749","Dr. Suess<U+0092> The Lorax","2011"
"2750","Dr. Vidya","1962"
"2751","Dr. Z","1959"
"2752","Dracula","1999"
"2753","Dragon","2018"
"2754","Draupadi Vastra Haran","1952"
"2755","Dream Girl","1977"
"2756","Dreamz","2005"
"2757","Drishtantham (The Vision)","2007"
"2758","Drishti","1991"
"2759","Drishyam","2015"
"2760","Drive","2018"
"2761","Drohi","1992"
"2762","Drohkaal","1995"
"2763","Drona","2008"
"2764","Dubai Return","2004"
"2765","Dukaan <U+0096> The Body Shop","2004"
"2766","Dukh Dard","1988"
"2767","Dulara","1994"
"2768","Dulari","1949"
"2769","Dulha Bikta Hai","1982"
"2770","Dulha Dulhan","1964"
"2771","Dulha Mil Gaya","2010"
"2772","DULHAN","1958"
"2773","Dulhan","1974"
"2774","Dulhan Bani Daayan","1999"
"2775","Dulhan Banoo Mein Teri","1999"
"2776","Dulhan Dilwale Ki (dubbed)","2001"
"2777","Dulhan Ek Raat Ki","1966"
"2778","Dulhan Hum Le Jayenge","2000"
"2779","Dulhan Wohi Jo Piya Man Bhaye","1977"
"2780","Dulhe Raja","1998"
"2781","Dum","2003"
"2782","Dum Dum Diga Diga","2010"
"2783","Dum Laga Ke Haisha","2015"
"2784","Dum Maaro Dum","2011"
"2785","Dumkata","2011"
"2786","Duniya","1949"
"2787","Duniya","1969"
"2788","Duniya","1984"
"2789","Duniya Gol Hai","1955"
"2790","Duniya Hai Dil Walon Ki","1966"
"2791","Duniya Jhukti Hai","1960"
"2792","Duniya Jhukti Hai","1996"
"2793","Duniya Ka Mela","1974"
"2794","Duniya Khatam Ho Rahi Hai","2016"
"2795","Duniya Ki Aisi Ki Taisi","2015"
"2796","Duniya Kya Jane","1971"
"2797","Duniya Meri Jeb Mein","1979"
"2798","Duniya Na Mane","1937"
"2799","Duniya Na Mane","1959"
"2800","Duniya Nachegi","1967"
"2801","Duniya Rang Rangili","1957"
"2802","Duniyadari","1977"
"2803","Duniyadari (Gujarati)","2017"
"2804","Dunkirk (English)","2017"
"2805","Dunno Y Na Jaane Kyun<U+0085>","2010"
"2806","Dunno Y2 <U+0096> Life Is A Moment","2015"
"2807","Duplicate","1998"
"2808","Duplicate Jaani Dushman","2003"
"2809","Duplicate Sholay","2002"
"2810","Durga","1939"
"2811","Durga","1985"
"2812","Durga","2002"
"2813","Durga Maa","1986"
"2814","Durga Mata","1961"
"2815","Durga Pooja","1962"
"2816","Durga Rani Singh","2015"
"2817","Durgesh Nandini","1956"
"2818","Dus","1997"
"2819","Dus","2005"
"2820","Dus Kahaniyaan","2007"
"2821","Dus Karod Kaa Jackpot","2005"
"2822","Dus Lakh","1966"
"2823","Dus Numbri","1976"
"2824","Dus Tola","2010"
"2825","Dushman","1939"
"2826","Dushman","1957"
"2827","Dushman","1972"
"2828","Dushman","1990"
"2829","Dushman","1998"
"2830","Dushman Devta","1991"
"2831","Dushman Duniya Ka","1996"
"2832","Dushman Zamana","1992"
"2833","Dushmani","1950"
"2834","Dushmani","1996"
"2835","Dushmanon Ka Dushman","1984"
"2836","Dussehra","2015"
"2837","Duty","1986"
"2838","Duvidha","1979"
"2839","East Phir Bhi Hai East (dubbed from English)","2000"
"2840","Ebn-e-Batuta","2014"
"2841","Eena Meena Deeka","1994"
"2842","Eent Ka Jawab Patthar","1982"
"2843","Eeshwar","1989"
"2844","Eeta","1978"
"2845","Ehsaas <U+0096> A Feeling","2001"
"2846","Ehsan","1954"
"2847","Ehsan","1970"
"2848","Eight Days","1946"
"2849","Eight Shani","2006"
"2850","Eik Dasttak","2007"
"2851","Ejamaan","1993"
"2852","Ek <U+0096> The Power of One","2009"
"2853","Ek Aadat","2009"
"2854","Ek Adhbut Dakshina<U+0085> Guru Dakshina","2015"
"2855","Ek Adhuri Kahani","1972"
"2856","Ek Ajnabee","2005"
"2857","Ek Alag Mausam","2005"
"2858","Ek Anari Do Khiladi","1996"
"2859","Ek Anokhi Dulhan Saavi","2017"
"2860","Ek Anri Do Roop","1973"
"2861","Ek Arman Mera","1959"
"2862","Ek Aur Amar Premm","2004"
"2863","Ek Aur Ek Gyarah","1981"
"2864","Ek Aur Ek Gyarah","2003"
"2865","Ek Aur Jung","2001"
"2866","Ek Aur Khoon","1987"
"2867","Ek Aur Maut","2000"
"2868","Ek Aur Sangram","1982"
"2869","Ek Aur Sikander","1986"
"2870","Ek Aur Vishpot","2002"
"2871","Ek Baap Chhe Bete","1978"
"2872","Ek Baar Chale Aao","1983"
"2873","Ek Baar Kaho","1980"
"2874","Ek Baar Muskura Do","1972"
"2875","Ek Baar Phir","1980"
"2876","Ek Badi Si Love Story","2003"
"2877","Ek Bechara","1972"
"2878","Ek Bindaas Aunty","2015"
"2879","Ek Bura Aadmi","2013"
"2880","Ek Chadar Maili Si","1986"
"2881","Ek Chalis Ki Last Local","2007"
"2882","Ek Chatur Naar","2009"
"2883","Ek Chitthi Pyar Bhari","1985"
"2884","Ek Chotisi Love Story","2002"
"2885","Ek Daav Bhutacha","1981"
"2886","Ek Daku Shaher Mein","1985"
"2887","Ek Dil Sau Afsane","1963"
"2888","Ek Din 24 Ghante","2003"
"2889","Ek Din Aadhi Raat","1972"
"2890","Ek Din Achanak","1990"
"2891","Ek Din Anjaane Mein","2006"
"2892","Ek Din Bahu Ka","1984"
"2893","Ek Din Ka Badshah","1964"
"2894","Ek Din Laut Ke Aaonga","2009"
"2895","Ek Do Teen","1953"
"2896","Ek Doctor Ki Maut","1991"
"2897","Ek Duuje Ke Liye","1981"
"2898","Ek Gaon Ki Kahani","1957"
"2899","Ek Gaon Ki Kahani","1975"
"2900","Ek Ghar","1991"
"2901","Ek Gunaah Aur Sahi","2011"
"2902","Ek Gunah Aur Sahi","1980"
"2903","Ek Hans Ka Joda","1975"
"2904","Ek Haseen Qatil","2000"
"2905","Ek Haseena Thi Ek Deewana Tha","2017"
"2906","Ek Hasina Do Diwane","1972"
"2907","Ek Hasina Thi","2004"
"2908","Ek Hi Bhool","2005"
"2909","Ek Hi Bhool","1981"
"2910","Ek Hi Maqsad","1988"
"2911","Ek Hi Raasta","1956"
"2912","Ek Hi Raasta","1977"
"2913","Ek Hi Rasta","1993"
"2914","Ek Hindustani","2002"
"2915","Ek Hota Vidushak","1993"
"2916","Ek Jaan Hai Hum","1983"
"2917","Ek Jhalak","1957"
"2918","Ek Kahani Julie Ki","2016"
"2919","Ek Kali Muskai","1968"
"2920","Ek Ke Baad Ek","1960"
"2921","Ek Khiladi Ek Haseena","2005"
"2922","Ek Khilari Bawan Pattey","1972"
"2923","Ek Kunwari Ek Kunwara","1973"
"2924","Ek Ladka Ek Ladki","1992"
"2925","Ek Ladki Saat Ladka","1961"
"2926","Ek Lootera","2001"
"2927","Ek Mahal Ho Sapno Ka","1975"
"2928","Ek Main Aur Ek Tu","1986"
"2929","Ek Main Aur Ekk Tu","2012"
"2930","Ek Main Ek Tum","2011"
"2931","Ek Masoom","1969"
"2932","Ek Misaal","1986"
"2933","Ek Musafir Ek Hasina","1962"
"2934","Ek Muthi Asmaan","1973"
"2935","Ek Naav Kinare Do","1973"
"2936","Ek Nai Ladki","1949"
"2937","Ek Nai Paheli","1984"
"2938","Ek Nanhi Munni Ladki Thi","1970"
"2939","Ek Nari Do Roop","2000"
"2940","Ek Nari Ek Brahmachari","1971"
"2941","Ek Naya Itihaas","1984"
"2942","Ek Naya Rishta","1988"
"2943","Ek Nazar","1951"
"2944","Ek Nazar","1972"
"2945","Ek Number Ka Chor","1990"
"2946","Ek Paheli","1971"
"2947","Ek Paheli Leela","2015"
"2948","Ek Pal","1986"
"2949","Ek Pal Pyar Ka","2005"
"2950","Ek Phool Char Kaante","1960"
"2951","Ek Phool Do Mali","1969"
"2952","Ek Phool Ek Bhool","1968"
"2953","Ek Phool Teen Kante","1997"
"2954","Ek Pyaar Aisa Bhi","2006"
"2955","Ek Raat","1968"
"2956","Ek Raat Mere Saath","2000"
"2957","Ek Raat Shaitan Ke Saath","2004"
"2958","Ek Raaz","1963"
"2959","Ek Raaz Mere Dil Mein Hai","2003"
"2960","Ek Rishtaa <U+0096> The Bond of Love","2001"
"2961","Ek Ruka Hua Faisla","1986"
"2962","Ek Saal","1957"
"2963","Ek Saal Pehle","1965"
"2964","Ek Sapera Ek Lutera","1965"
"2965","Ek Saudagar","1985"
"2966","Ek Se Badhkar Ek","1976"
"2967","Ek Se Badhkar Ek","2004"
"2968","Ek Se Bhale Do","1985"
"2969","Ek Se Bure Do","2009"
"2970","Ek Se Mera Kya Hoga","2006"
"2971","Ek Second<U+0085> Jo Zindagi Badal De?","2010"
"2972","Ek Shola","1958"
"2973","Ek Shriman Ek Shrimati","1969"
"2974","Ek Stree","2002"
"2975","Ek Teri Nishani","1949"
"2976","Ek Tha Alibaba","1963"
"2977","Ek Tha Arvind","2015"
"2978","Ek Tha Dil Ek Thi Dhadkan","1997"
"2979","Ek Tha Gangster","2015"
"2980","Ek Tha Hero","2015"
"2981","Ek Tha Ladka","1951"
"2982","Ek Tha Raja","1951"
"2983","Ek Tha Raja","1996"
"2984","Ek Tha Tiger","2012"
"2985","Ek Thi Daayan","2013"
"2986","Ek Thi Ladki","1949"
"2987","Ek Thi Rani Aisi Bhi","2017"
"2988","Ek Thi Reeta","1971"
"2989","Ek Tho Chance","2011"
"2990","Ek Villain","2014"
"2991","Ek Vivaah Aisa Bhi","2008"
"2992","Ek Zakhm <U+0096> The Blast","2006"
"2993","Ekadashi","1955"
"2994","Ekeh 2.0","2010"
"2995","Ekk Deewana Tha","2012"
"2996","Ekk Thee Sanam","2013"
"2997","Ekka Raja Rani","1994"
"2998","Ekkees Toppon Ki Salaami","2014"
"2999","Eklavya <U+0096> The Royal Guard","2007"
"3000","Eknath","2011"
"3001","Ekta Kapoor <U+0096> Anees Bazmee","2010"
"3002","Elaan","1947"
"3003","Elaan","1971"
"3004","Elaan","2005"
"3005","Elaan","1994"
"3006","Electric Moon","1992"
"3007","Elephant Queen","1962"
"3008","Elizabeth <U+0096> The Golden Age","2008"
"3009","Ellaam Inbamayam","1981"
"3010","Ellaam Un Kairaasi","1980"
"3011","Ellan E Jung","1989"
"3012","Elysium","2015"
"3013","Emi","2008"
"3014","Enakkul Oruvan","1984"
"3015","Encounter <U+0096> The Killing","2002"
"3016","Enemmy <U+0096> Law And Disorder","2013"
"3017","Engeyo Ketta Kural","1982"
"3018","English Babu Desi Mem","1996"
"3019","English Vinglish","2012"
"3020","Entertainment","2014"
"3021","Escape From Taliban","2003"
"3022","Evanu Oruvan","2007"
"3023","Every Body Says I Am Fine","2002"
"3024","Exchange Offer","2011"
"3025","Excuse Me","2003"
"3026","Extraordinaari","2015"
"3027","F.A.L.T.U","2011"
"3028","Faasle","1985"
"3029","Faisla","1965"
"3030","Fajr-E-Islam","1981"
"3031","Fakeer","1998"
"3032","Fakir Badshah","1987"
"3033","Fakira","1976"
"3034","Falak","1988"
"3035","Faltu Utpatang Chutpati Kahani","2007"
"3036","Family <U+0096> Ties of Blood","2006"
"3037","Familywala","2012"
"3038","Fan","2016"
"3039","Fanaa","2006"
"3040","Fanney Khan","2018"
"3041","Fantastic Beasts and Where to Find Them (English)","2016"
"3042","Fantastic Four (English)","2015"
"3043","Faraar","1955"
"3044","Faraar","1965"
"3045","Faraar","1975"
"3046","Faraar","1997"
"3047","Faraar","2011"
"3048","Faraar Quaidi","1989"
"3049","Fareb","1953"
"3050","Fareb","1968"
"3051","Fareb","1983"
"3052","Fareb","1996"
"3053","Fareb","2005"
"3054","Farebi","1974"
"3055","Farishta","1958"
"3056","Farishta","1968"
"3057","Farishta","1984"
"3058","Farishta Ya Qatil","1977"
"3059","Farishtay","1991"
"3060","Fariyaad","1964"
"3061","Farmaish","1953"
"3062","Faryadi","1953"
"3063","Farz","1967"
"3064","Farz","2001"
"3065","Farz Aur Kanoon","1979"
"3066","Farz Aur Kanoon","1982"
"3067","Farz Ki Jung","1989"
"3068","Farz Ki Keemat","1985"
"3069","Farzi","2015"
"3070","Fashion","1959"
"3071","Fashion","2008"
"3072","Fashionable India","1935"
"3073","Fashionable Wife","1959"
"3074","Faslah","1976"
"3075","Fast And Furious 8 (English)","2017"
"3076","Fast Forward","2009"
"3077","Fateh","1991"
"3078","Fateh Singh","2015"
"3079","Fatso","2012"
"3080","Fattu Saala","2015"
"3081","Fauj","1994"
"3082","Fauj Mein Mauj","2011"
"3083","Fauji","1976"
"3084","Fauji","1995"
"3085","Faulad","1963"
"3086","Fauladi Mukka","1965"
"3087","Fear","2011"
"3088","Feel <U+0096> The Touch","2007"
"3089","Ferdinand The Bull (English)","2017"
"3090","Ferrari Ki Sawaari","2012"
"3091","Ferry","1954"
"3092","Fever","2016"
"3093","Ffff","1960"
"3094","Fida","2004"
"3095","Fifty Fifty","1956"
"3096","Fifty Fifty","1981"
"3097","Fight Club <U+0096> Members Only","2006"
"3098","Fighter Sheila","1972"
"3099","Fighting Queen","1956"
"3100","Filght To Assam","1962"
"3101","Filhaal","2002"
"3102","Film Hi Film","1983"
"3103","Film Star","2005"
"3104","Filmi Duniya","2013"
"3105","Filmi Raasleela","2015"
"3106","Filmistaan","2014"
"3107","Final Cut Of Director","2016"
"3108","Finding Dory (English)","2016"
"3109","Finding Fanny","2014"
"3110","Firaaq","2009"
"3111","Firdaus","1953"
"3112","Fire","1998"
"3113","Fired","2011"
"3114","Fireflies","2014"
"3115","Firrkie","2017"
"3116","First Love","1963"
"3117","First Love Letter","1991"
"3118","First Time<U+0085>Pehli Baar","2007"
"3119","Fitoor","2016"
"3120","Five","2018"
"3121","Five Rifles","1974"
"3122","Five Rifles","2001"
"3123","Fiza","2000"
"3124","Flat 211","2017"
"3125","Flat No. 9","1961"
"3126","Flying Circus","1965"
"3127","Flying Horse","1963"
"3128","Flying Man","1955"
"3129","Flying Rani","1959"
"3130","Focus","2015"
"3131","Fool n Final","2007"
"3132","Fools","2011"
"3133","Foot Path","1953"
"3134","Footpath","2003"
"3135","For Ladies Only","1951"
"3136","For Real","2010"
"3137","Force","2011"
"3138","Force 2","2016"
"3139","Forgotten Showers","2004"
"3140","Formula 69","2008"
"3141","Forty Days","1959"
"3142","Four Pillars Of Basement","2015"
"3143","Four Two Ka One","2013"
"3144","Fox","2009"
"3145","Fraud Saiyaan","2015"
"3146","Freaky Ali","2016"
"3147","Freaky Chakra","2003"
"3148","Fredrick","2016"
"3149","Free Entry","2006"
"3150","Free Love","1974"
"3151","Free State Of Jones (English)","2016"
"3152","Freedom","2015"
"3153","Friend Request","2017"
"3154","Friends Forever","2010"
"3155","Friendship","2007"
"3156","From Sydney With Love","2012"
"3157","Front Page","2010"
"3158","Frozen","2011"
"3159","Fruit & Nut","2009"
"3160","Fuddu","2016"
"3161","Fugly","2014"
"3162","Fukrey","2013"
"3163","Fukrey Returns","2016"
"3164","Full 2 Jugadu","2015"
"3165","Fun <U+0096> Can Be Dangerous Sometimes","2005"
"3166","Fun Freaked Face Booked","2015"
"3167","Fun2ssh","2003"
"3168","Funtoosh","1956"
"3169","Future To Bright Hai Ji","2012"
"3170","G Kutta Se","2017"
"3171","Gaal Gulabi Nain Sharabi","1974"
"3172","Gaali","1944"
"3173","Gaban","1967"
"3174","Gabbar Is Back","2015"
"3175","Gabbar Ki Shaadi Honeymoon Basanti Ka","2011"
"3176","Gabbar Singh","2007"
"3177","Gabbar Singh","1976"
"3178","Gabbar Singh","2007"
"3179","Gadar <U+0096> Ek Prem Katha","2001"
"3180","Gaddar","1973"
"3181","Gaddar","1995"
"3182","Gafla","2006"
"3183","Gahraee","2011"
"3184","Gai Aur Gauri","1973"
"3185","Gair","1999"
"3186","Gair Kanooni","1989"
"3187","Gaja Gamini","2000"
"3188","Gajre","1948"
"3189","Gali Gali Chor Hai","2012"
"3190","Galion Ka Badshah","1989"
"3191","Galiyon Ka Badshah","2001"
"3192","Galtiyaan <U+0096> The Mistake","2006"
"3193","Gaman","1979"
"3194","Gambler","1960"
"3195","Gambler","1971"
"3196","Gambler","1995"
"3197","Game","2007"
"3198","Game","1993"
"3199","Game","2011"
"3200","Game Of Ayodhya","2016"
"3201","Game on","2011"
"3202","Game Paisa Ladki","2015"
"3203","Gande Log","1995"
"3204","Gandeevam","1994"
"3205","Gandhi","1983"
"3206","Gandhi My Father","2007"
"3207","Gandhi Park","2006"
"3208","Gandhi Se Mahatma Tak","1996"
"3209","Gandhi To Hitler","2011"
"3210","Gandhigiri","2016"
"3211","Gang","2000"
"3212","Gang of Ghosts","2014"
"3213","Gang Of Littles","2016"
"3214","Ganga","2006"
"3215","Ganga Aur Ranga","1994"
"3216","Ganga Aur Suraj","1980"
"3217","Ganga Bani Shola","1992"
"3218","Ganga Dacait","2000"
"3219","Ganga Dham","1980"
"3220","Ganga Jamuna","1961"
"3221","Ganga Jamuna Ki Lalkar","1991"
"3222","Ganga Jamuna Sarswati","1988"
"3223","Ganga Ka Vachan","1992"
"3224","Ganga Ki Kasam","1999"
"3225","Ganga Ki Lehren","1964"
"3226","Ganga Ki Saugandh","1978"
"3227","Ganga Maiya","1955"
"3228","Ganga Mang Rahi Balidan","1981"
"3229","Ganga Mange Khoon","1997"
"3230","Ganga Meri Maa","1982"
"3231","Ganga Sagar","1978"
"3232","Ganga Tera Pani Amrit","1971"
"3233","Ganga Tere Desh Mein","1988"
"3234","Gangaajal","2003"
"3235","Gangabai","2002"
"3236","Gangaji San Pawan Pritiya Hamar","2005"
"3237","Gangapur Ki Geeta","1994"
"3238","Gangoobai","2013"
"3239","Gangotri","2007"
"3240","Gangs Of Wasseypur","2012"
"3241","Gangs Of Wasseypur 2","2012"
"3242","Gangster","1995"
"3243","Gangster","2008"
"3244","Gangu","1962"
"3245","Ganguva","1984"
"3246","Ganwar","1970"
"3247","Gaon","1947"
"3248","Gaon Desh","2000"
"3249","Gaon Hamara Shehar Tumhara","1972"
"3250","Garam","2005"
"3251","Garam Khoon","1980"
"3252","Garam Kot","1955"
"3253","Garam Masala","2005"
"3254","Garam Masala","1972"
"3255","Garam Reth","2016"
"3256","","rbag"
"3257","Gardish","1993"
"3258","Garibi","1949"
"3259","Garibi Hatao","1973"
"3260","Garibon Ka Daata","1989"
"3261","Garibon Ka Daata","2002"
"3262","Garjanai","1981"
"3263","Garjann","2011"
"3264","Garm Hava","1974"
"3265","Garm Hoth","2002"
"3266","Garma Garam","1957"
"3267","Garma Garam","2005"
"3268","Garma Garm Masala ","0001"
"3269","Garv","2004"
"3270","Gateway Of India","1957"
"3271","Gattu","2012"
"3272","Gauhar","1953"
"3273","Gauna","1950"
"3274","Gauraiya","2015"
"3275","Gaurav","1947"
"3276","Gauri","1943"
"3277","Gauri","1968"
"3278","Gauri <U+0096> The Unborn","2007"
"3279","Gauri Pooja","1956"
"3280","Gauri Shankar","1958"
"3281","Gautam Govinda","1979"
"3282","Gautam Govinda","2002"
"3283","Gawaahi","1989"
"3284","Gawaiya","1954"
"3285","Gayab","2004"
"3286","Gayatri","1977"
"3287","Gayatri Mahima","1977"
"3288","Gayy Gayy Resort","2017"
"3289","Gazab Tamasha","1992"
"3290","Geet","1944"
"3291","Geet","1970"
"3292","Geet","1992"
"3293","Geet Gata Chal","1975"
"3294","Geet Gaya Patharon Ne","1964"
"3295","Geet Govind","1947"
"3296","Geet Milan Ke Gaate Rehenge","1992"
"3297","Geeta","1940"
"3298","Geeta Ki Saugandh","1988"
"3299","Geeta Mera Naam","1974"
"3300","Geeta Mera Naam:The Revenge","2000"
"3301","Geetanjali","1993"
"3302","Gehra Daag","1963"
"3303","Gehra Raaz","1971"
"3304","Gehra Zakhm","1981"
"3305","Gehrayee","1981"
"3306","Gehri Chaal","2015"
"3307","Gehri Chaal","1973"
"3308","Geng","2010"
"3309","Genius","2017"
"3310","Gentleman","1989"
"3311","Gentleman Daku","1961"
"3312","Get Set Go","2007"
"3313","Ghaav <U+0096> The Wound","2002"
"3314","Ghabrahat","1989"
"3315","Ghajini","2008"
"3316","Ghajini (Tamil)","2005"
"3317","Ghamand","1955"
"3318","Ghamandee","1981"
"3319","Ghanchakkar","2013"
"3320","Ghanta Chori Ho Gaya","2017"
"3321","Ghar","1978"
"3322","Ghar Akhir Ghar Hai","1988"
"3323","Ghar Aya Mera Pardesi","1993"
"3324","Ghar Basake Dekho","1963"
"3325","Ghar Bazar","1998"
"3326","Ghar Dwar","1985"
"3327","Ghar Ek Mandir","1984"
"3328","Ghar Ghar Ki Baat","1959"
"3329","Ghar Ghar Ki Kahani","1947"
"3330","Ghar Ghar Ki Kahani","1971"
"3331","Ghar Ghar Ki Kahani","1988"
"3332","Ghar Ghar Mein Diwali","1955"
"3333","Ghar Grihasti","1958"
"3334","Ghar Ho To Aisa","1990"
"3335","Ghar Jamai","1935"
"3336","Ghar Jamai","1992"
"3337","Ghar Ka Chirag","1967"
"3338","Ghar Ka Chirag","1989"
"3339","Ghar Ka Kanoon","1995"
"3340","Ghar Ka Sukh","1987"
"3341","Ghar Ki Bahu","1947"
"3342","Ghar Ki Izzat","1948"
"3343","Ghar Ki Izzat","1994"
"3344","Ghar Ki Laaj","1960"
"3345","Ghar Ki Laaj","1979"
"3346","Ghar Mei Ram Gali Mein Shyam","1988"
"3347","Ghar Mein Ho Saali To Pura Saal Diwali","2001"
"3348","Ghar Parivar","1991"
"3349","Ghar Sansar","1942"
"3350","Ghar Sansar","1958"
"3351","Ghar Sansar","1986"
"3352","Gharaana Mogudu","1992"
"3353","Gharana","1949"
"3354","Gharana","1961"
"3355","Gharana","1989"
"3356","Gharonda","1977"
"3357","Gharwali Baharwali","1989"
"3358","Gharwali Baharwali","1998"
"3359","Ghashiram Kotwal","1976"
"3360","Ghat <U+0096> The Hill Station","2006"
"3361","Ghatak","1996"
"3362","Ghatna","1974"
"3363","Ghatothkach","2008"
"3364","Ghayal","1951"
"3365","Ghayal","1990"
"3366","Ghayal Once Again","2016"
"3367","Ghazab","1982"
"3368","Ghazal","1964"
"3369","Ghoom","2006"
"3370","Ghoomketu","2015"
"3371","Ghoonghat","1997"
"3372","Ghost","2012"
"3373","Ghostbusters: Answer the Call (English)","2016"
"3374","Ghulam","1998"
"3375","Ghulam-E-Mustafa","1997"
"3376","Ghunghat","1960"
"3377","Ghunghat","1988"
"3378","Ghunghat Wali","1938"
"3379","Ghungroo","1952"
"3380","Ghungroo","1983"
"3381","Ghungroo Ki Awaz","1981"
"3382","Ghutan","2007"
"3383","Giddh","1984"
"3384","Gin Liya Aasman","2011"
"3385","Ginny Aur Johny","1976"
"3386","Gippi","2013"
"3387","Giraftaar","1985"
"3388","Giraftaari","1992"
"3389","Girdhar Gopal Ki Mira","1949"
"3390","Girl Friend","1961"
"3391","Girlfriend","2004"
"3392","Girls Hostel","1962"
"3393","Girls School","1949"
"3394","Glamour Girl","2000"
"3395","Global Baba","2016"
"3396","Go","2007"
"3397","Go Goa Gone","2013"
"3398","Goad Gupit","2004"
"3399","God & Sex","2011"
"3400","God And Gun","1995"
"3401","God Only Knows","2004"
"3402","God Tussi Great Ho","2008"
"3403","Godaan","1963"
"3404","Godam","1983"
"3405","Godhuli","1979"
"3406","Godmother","1999"
"3407","Gokul Ka Chor","1959"
"3408","Gokul Ka Raja","1954"
"3409","Gol Time Gang Of Littles","2016"
"3410","Gola Barood","1989"
"3411","Gold","2018"
"3412","Gold Medal","1984"
"3413","Golden Bar","2004"
"3414","Golden Boys","2008"
"3415","Golden Eyes Secret Agent 007","1968"
"3416","Golden Item Girl","2007"
"3417","Goliyon Ki Raasleela Ram-leela","2013"
"3418","Gollu Aur Pappu","2014"
"3419","Golmaal","1979"
"3420","Golmaal","2006"
"3421","Golmaal 3","2010"
"3422","Golmaal Again","2017"
"3423","Golmaal Returns","2008"
"3424","Gomti Ke Kinare","1972"
"3425","Good Boy Bad Boy","2007"
"3426","Good Luck","2008"
"3427","Goonj","1952"
"3428","Goonj","1974"
"3429","Goonj","1989"
"3430","Goonj Uthi Shahnai","1959"
"3431","Goosebumps (English)","2015"
"3432","Gopal Krishna","1965"
"3433","Gopal Krishna","1979"
"3434","Gopala","1994"
"3435","Gopi","1970"
"3436","Gopi Chand","1958"
"3437","Gopi Kishen","1994"
"3438","Gopichand Jasoos","1982"
"3439","Gopinath","1948"
"3440","Gopura Vasalile","1991"
"3441","Gora","1987"
"3442","Gora Aur Kala","1972"
"3443","Gori","1992"
"3444","Gori Aur Kali","2003"
"3445","Gori Tere Pyaar Mein!","2013"
"3446","Gorila","1953"
"3447","Goswami Tulsidas","1964"
"3448","Gour Hari Dastaan <U+0096> The Freedom File","2015"
"3449","Government","2016"
"3450","Graduate","1936"
"3451","Grah Laxmi","1934"
"3452","Grah Laxmi","1949"
"3453","Grah Laxmi","1959"
"3454","Grah Pravesh","1980"
"3455","Grahan","1976"
"3456","Grahan","2001"
"3457","Grahasthi","1963"
"3458","Grahasthi","1985"
"3459","Gramophone Singer","1938"
"3460","Grand Masti","2013"
"3461","Great Grand Masti","2016"
"3462","Great Show Of India","1958"
"3463","Grow Up","2015"
"3464","Grrrr","2010"
"3465","Guardians","2014"
"3466","Guardians of the Galaxy Vol. 2","2017"
"3467","Guddi","1971"
"3468","Guddu","1995"
"3469","Guddu Ki Gun","2015"
"3470","Guddu Rangeela","2015"
"3471","Gudgudee","1997"
"3472","Gudia","1947"
"3473","Gudia","1998"
"3474","Guest House","1959"
"3475","Guest House","1981"
"3476","Guest Iin London","2017"
"3477","Guftagoo","2010"
"3478","Guide","1965"
"3479","Gul Badan","1937"
"3480","Gul Bahar","1954"
"3481","Gul Sanobar","1934"
"3482","Gul Sanovar","1953"
"3483","Gul-E-Bakawali","1956"
"3484","Gul-E-Bakawali","1963"
"3485","Gulaab Gang","2014"
"3486","Gulaal","2009"
"3487","Gulabi","1996"
"3488","Gulam Begum Badshah","1973"
"3489","Gulami","1985"
"3490","Gulami Ki Zanjeeren","1987"
"3491","Gulliver<U+0092>s Travel","2006"
"3492","Gully Boy","2017"
"3493","Gulnar","1950"
"3494","Gumasta","1951"
"3495","Gumastavin Magal","1974"
"3496","Gumnaam","2005"
"3497","Gumnaam","1965"
"3498","Gumnaam <U+0096> The Mystery","2008"
"3499","Gumnaam Hai Koi","2001"
"3500","Gumnaam Hai Koi","1983"
"3501","Gumnaam Qaatil","2001"
"3502","Gumraah","1993"
"3503","Gumrah","1977"
"3504","Gumrah","1963"
"3505","Gumshuda","2010"
"3506","Gumsum","1982"
"3507","Gun Fighter Johnny","1972"
"3508","Gun Pe Done","2015"
"3509","Guna","1992"
"3510","Gunaah","2002"
"3511","Gunah","1993"
"3512","Gunah","1953"
"3513","Gunah Aur Kanoon","1970"
"3514","Gunahon Ka Devta","1990"
"3515","Gunahon Ka Devta","1967"
"3516","Gunahon Ka Faisla","1988"
"3517","Gunahon Ke Raaste","1970"
"3518","Gunda","1969"
"3519","Gunda Gang","1992"
"3520","Gunda Gardi","1997"
"3521","Gundaraj","1995"
"3522","Gunday","2014"
"3523","Gunehgaar","1967"
"3524","Gunhegar","1995"
"3525","Gunhegar","1981"
"3526","Gunhegar Kaun","1991"
"3527","Gunjan","1948"
